Folder,#Files,#LoC,Theorems,Implementations,Documentation,#Doc/#LoC (%),Proved
/src/dafny/beacon/helpers/helper_lemmas,7,1072,32,21,424,40,46
/src/dafny/beacon/helpers/helper_lemmas,3,746,26,2,36,5,21
/src/dafny/beacon/helpers/helper_lemmas,1,652,20,0,11,2,20
/src/dafny/libraries/reals,2,30,4,0,0,0,4
/src/dafny/merkle,1,383,9,18,149,39,27
/src/dafny/ssz,7,970,23,20,220,23,43
/src/dafny/utils,7,693,31,15,227,33,46
/test/dafny/merkle/third_party_implementations,7,389,2,41,112,29,42
/test/dafny/merkle/third_party_implementations,6,366,2,40,102,28,42
/test/dafny/ssz,2,30,0,2,15,50,2
/test/dafny/test_utils,1,159,1,19,73,46,20
/test/dafny/utils,1,13,0,1,17,131,1
/test/lowlevel_modules,2,22,0,4,6,27,4
